,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,Itezhi Tezhi,Hydro,Reservoir,PP,ZM,120.0,,,0.0,0.0,0.0,1977.0,1977.0,2077.0,-15.7601,26.0213,{nan},"{'GHPT': {'G604089'}, 'GEO': {'GEO-45987', 'GEO-3698'}, 'GPD': {'WRI1000020'}}",118
1,Kafue Gorge Upper,Hydro,Reservoir,PP,ZM,990.0,,,0.0,0.0,0.0,1971.0,1971.0,2071.0,-15.8067,28.4216,{nan},"{'GHPT': {'G604091'}, 'GEO': {'GEO-3769'}, 'GPD': {'WRI1000022'}}",83
2,Kariba Dam,Hydro,Reservoir,PP,ZM,2130.0,,,0.0,0.0,0.0,1959.0,1959.0,2059.0,-16.5225,28.7621,{nan},"{'GHPT': {'G604149'}, 'GEO': {'GEO-3802'}, 'GPD': {'WRI1000021'}}",84
3,Victoria Falls,Hydro,Run-Of-River,PP,ZM,108.0,,,0.0,0.0,0.0,1936.0,1936.0,2036.0,-17.9305,25.8598,{nan},"{'GHPT': {'G604096'}, 'GEO': {'GEO-40383'}, 'GPD': {'WRI1022380'}}",12
4,Maamba,Hard Coal,Steam Turbine,PP,ZM,300.0,,,0.0,0.0,0.0,2016.0,2016.0,2061.0,-17.352722,27.18594,"{nan, nan}","{'GCPT': {'G100000106530', 'G100000106531'}, 'GEO': {'GEO-46611'}, 'GPD': {'WRI1022376'}}",94
5,Lusiwasi Zambia,Hydro,Reservoir,PP,ZM,11.847133757961783,,,0.0,0.0,0.0,1967.0,1967.0,2067.0,-12.9884,30.8649,"{nan, nan, nan, nan}","{'GEO': {'GEO-45988'}, 'GPD': {'WRI1000023'}}",130
6,Mita Hills Dam Zambia,Hydro,,PP,ZM,0.0,,,0.0,0.0,0.0,1966.142857142857,1966.142857142857,2066.142857142857,-14.23609860095,29.119691848755,{nan},{'GEO': {'GEO-4318'}},154
7,Mulungushi Dam Zambia,Hydro,Reservoir,PP,ZM,29.420382165605094,,,0.0,0.0,0.0,1932.0,1932.0,2032.0,-14.73887,28.84228,"{nan, nan, nan, nan}",{'GEO': {'GEO-4404'}},89
8,Bancroft Copperbelt,Oil,,PP,ZM,20.0,,,0.0,0.0,0.0,1990.7428571428572,1990.7428571428572,2030.7428571428572,-12.3786,27.8317,{nan},{'GPD': {'WRI1022387'}},38
10,Luano,Oil,,PP,ZM,40.0,,,0.0,0.0,0.0,1990.7428571428572,1990.7428571428572,2030.7428571428572,-11.5667,24.1333,{nan},{'GPD': {'WRI1022388'}},65
11,Luanshya Nchanga,Oil,,PP,ZM,14.6,,,0.0,0.0,0.0,1990.7428571428572,1990.7428571428572,2030.7428571428572,-13.1333,28.4,{nan},{'GPD': {'WRI1022389'}},80
12,Lusaka,Oil,,PP,ZM,15.0,,,0.0,0.0,0.0,1990.7428571428572,1990.7428571428572,2030.7428571428572,-15.433,28.333,{nan},{'GPD': {'WRI1022385'}},82
13,Mufulira Nchanga,Oil,,PP,ZM,10.0,,,0.0,0.0,0.0,1990.7428571428572,1990.7428571428572,2030.7428571428572,-12.55,28.2333,{nan},{'GPD': {'WRI1022390'}},135
14,Nakambala Sugar,Bioenergy,,PP,ZM,12.237,,,0.0,0.0,0.0,1990.7428571428572,1990.7428571428572,,-15.8333,27.7667,{nan},{'GPD': {'WRI1022375'}},3
15,Ndola,Oil,,PP,ZM,50.0,,,0.0,0.0,0.0,1990.7428571428572,1990.7428571428572,2030.7428571428572,-12.9667,28.6333,{nan},{'GPD': {'WRI1022386'}},139
16,Nkana,Oil,,PP,ZM,20.0,,,0.0,0.0,0.0,1990.7428571428572,1990.7428571428572,2030.7428571428572,-12.8167,28.2,{nan},{'GPD': {'WRI1022384'}},0
17,Ndola Energy Hfo,CCGT,CCGT,PP,ZM,105.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-13.0147663927977,28.6616693179398,{nan},{'GGPT': {'L100000409050'}},25
18,Ndola Cement,Hard Coal,Steam Turbine,PP,ZM,30.0,,,0.0,0.0,0.0,2015.0,2015.0,2060.0,-13.027011,28.779202,{nan},{'GCPT': {'G100000107339'}},138
22,Kafue Gorge Lower,Hydro,Reservoir,PP,ZM,750.0,,,0.0,0.0,0.0,2021.0,2021.0,2121.0,-15.8959,28.5601,{nan},{'GHPT': {'G604090'}},131
